,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry0.50,1196.3131313131314,BRISK,2.606060606060606,0.0021784100983661923,0.9978215899016339,0.0021784100983661247
1,Quarry0.50,1066.888888888889,BRISK,1.3838383838383839,0.0012970782602109408,0.9987029217397891,0.0012970782602109005
2,Quarry0.50,1039.7676767676767,BRISK,0.3434343434343434,0.00033029911499266544,0.9996697008850073,0.0003302991149926907
3,Quarry0.50,1335.888888888889,BRISK,1.2323232323232323,0.0009224743484079756,0.9990775256515919,0.0009224743484080311
4,Quarry0.50,936.5656565656566,BRISK,1.2222222222222223,0.0013050043140638483,0.9986949956859362,0.001305004314063811
5,Quarry0.50,615.989898989899,BRISK,2.0707070707070705,0.0033615925749799123,0.9966384074250201,0.0033615925749799166
6,Quarry0.50,586.3737373737374,BRISK,2.5656565656565657,0.004375462954987855,0.9956245370450121,0.004375462954987887
7,Quarry0.50,672.8888888888889,BRISK,5.222222222222222,0.007760898282694848,0.9922391017173052,0.00776089828269481
8,Quarry0.50,655.2121212121212,BRISK,7.08080808080808,0.01080689421268461,0.9891931057873153,0.010806894212684635
9,Quarry0.50,551.6969696969697,BRISK,6.313131313131313,0.01144311399172434,0.9885568860082757,0.011443113991724301
10,Quarry0.50,547.5959595959596,BRISK,8.575757575757576,0.015660739319707816,0.9843392606802921,0.01566073931970786
11,Quarry0.50,572.7373737373738,BRISK,4.3232323232323235,0.007548367753655139,0.9924516322463448,0.007548367753655166
12,Quarry0.50,902.5858585858585,BRISK,1.292929292929293,0.0014324723577599716,0.99856752764224,0.001432472357759989
13,Quarry0.50,1541.828282828283,BRISK,0.31313131313131315,0.00020309091266435623,0.9997969090873355,0.00020309091266440855
14,Quarry0.50,1158.111111111111,BRISK,0.06060606060606061,5.2331818617916676e-05,0.9999476681813821,5.233181861788671e-05
15,Quarry0.50,1520.9292929292928,BRISK,0.06060606060606061,3.9848046117472046e-05,0.9999601519538825,3.984804611746211e-05
16,Quarry0.50,1209.959595959596,BRISK,0.32323232323232326,0.000267143071811397,0.9997328569281886,0.00026714307181140623
17,Quarry0.50,1220.7171717171718,BRISK,0.8585858585858586,0.0007033454419078037,0.9992966545580921,0.0007033454419078347
18,Quarry0.50,849.3434343434343,BRISK,3.3838383838383836,0.00398406374501992,0.9960159362549801,0.0039840637450199185
19,Quarry0.50,842.3737373737374,BRISK,5.474747474747475,0.0064991905989567715,0.9935008094010432,0.006499190598956767
20,Quarry0.50,797.959595959596,BRISK,4.959595959595959,0.006215347223980354,0.9937846527760197,0.006215347223980335
21,Quarry0.50,965.7070707070707,BRISK,5.8686868686868685,0.006077088018409079,0.993922911981591,0.006077088018409041
22,Quarry0.50,940.989898989899,BRISK,6.08080808080808,0.006462139590802722,0.9935378604091972,0.006462139590802748
23,Quarry0.50,866.6161616161617,BRISK,3.404040404040404,0.003927967830293141,0.9960720321697069,0.0039279678302931425
24,Quarry0.50,1132.4343434343434,BRISK,2.2323232323232323,0.001971260625629956,0.99802873937437,0.001971260625629989
25,Quarry0.50,1475.5858585858587,BRISK,0.6868686868686869,0.0004654887974644551,0.9995345112025356,0.0004654887974644484
26,Quarry0.50,1618.060606060606,BRISK,0.2727272727272727,0.00016855195145703799,0.999831448048543,0.0001685519514570395
27,Quarry0.50,1200.979797979798,BRISK,0.09090909090909091,7.569577028856911e-05,0.9999243042297115,7.56957702885555e-05
28,Quarry0.50,1225.909090909091,BRISK,0.2727272727272727,0.00022246941045606227,0.999777530589544,0.00022246941045603387
29,Quarry0.50,1645.5959595959596,BRISK,0.31313131313131315,0.00019028444455356815,0.9998097155554464,0.00019028444455358465
30,Quarry0.50,1568.7373737373737,BRISK,0.35353535353535354,0.00022536299539615596,0.9997746370046039,0.00022536299539613078
31,Quarry0.50,1465.6161616161617,BRISK,0.37373737373737376,0.0002550035838341512,0.9997449964161659,0.0002550035838341374
32,Quarry0.50,1259.7171717171718,BRISK,0.7070707070707071,0.0005612932195779074,0.9994387067804221,0.0005612932195778907
33,Quarry0.50,989.6464646464647,BRISK,0.7878787878787878,0.0007961214595560091,0.999203878540444,0.0007961214595559983
34,Quarry0.50,836.7171717171717,BRISK,2.1515151515151514,0.002571376833464115,0.9974286231665359,0.002571376833464102
35,Quarry0.50,714.979797979798,BRISK,2.191919191919192,0.003065707867708348,0.9969342921322917,0.003065707867708335
36,Quarry0.50,740.4848484848485,BRISK,2.878787878787879,0.0038877066623015225,0.9961122933376985,0.0038877066623015303
37,Quarry0.50,908.8383838383838,BRISK,1.4545454545454546,0.0016004445679355377,0.9983995554320644,0.0016004445679355798
38,Quarry0.50,1117.969696969697,BRISK,0.6464646464646465,0.0005782488096206146,0.9994217511903793,0.0005782488096206332
39,Quarry0.50,1267.9292929292928,BRISK,0.13131313131313133,0.0001035650268870743,0.9998964349731129,0.00010356502688710282
40,Quarry0.50,891.2323232323232,BRISK,0.0707070707070707,7.933629522168827e-05,0.9999206637047784,7.93362952216493e-05
41,Quarry0.50,1392.6969696969697,BRISK,0.08080808080808081,5.802273040463602e-05,0.9999419772695953,5.802273040465406e-05
42,Quarry0.50,1370.4040404040404,BRISK,0.10101010101010101,7.370826269624825e-05,0.9999262917373037,7.370826269625378e-05
43,Quarry0.50,1216.2525252525252,BRISK,0.1919191919191919,0.00015779551362439686,0.9998422044863756,0.0001577955136243891
44,Quarry0.50,1309.7777777777778,BRISK,0.1111111111111111,8.48320325755005e-05,0.9999151679674245,8.483203257548875e-05
45,Quarry0.50,1079.8484848484848,BRISK,0.35353535353535354,0.00032739348019269446,0.9996726065198073,0.00032739348019271127
46,Quarry0.50,1253.6060606060605,BRISK,1.6767676767676767,0.0013375554964667586,0.9986624445035333,0.0013375554964667527
47,Quarry0.50,1372.050505050505,BRISK,0.8686868686868687,0.0006331303880500321,0.99936686961195,0.0006331303880500251
48,Quarry0.50,1125.3636363636363,BRISK,0.696969696969697,0.0006193284325605192,0.9993806715674395,0.0006193284325605184
49,Quarry0.50,1674.7070707070707,BRISK,0.16161616161616163,9.650413761490025e-05,0.9999034958623851,9.650413761488074e-05
50,Quarry0.50,788.3838383838383,BRISK,2.1818181818181817,0.0027674567584881488,0.9972325432415119,0.002767456758488128
51,Quarry0.50,547.1111111111111,BRISK,1.8282828282828283,0.003341702976146518,0.9966582970238536,0.0033417029761464807
