,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3434343434343434,0.017,0.9830000000000001,0.016999999999999953
1, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.37373737373737376,0.01849075462268866,0.9815092453773113,0.018490754622688666
2, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.5050505050505051,0.024987506246876564,0.9750124937531234,0.02498750624687659
3, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.36363636363636365,0.018000000000000002,0.982,0.01800000000000001
4, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.5151515151515151,0.025500000000000002,0.9744999999999999,0.02550000000000004
5, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.7373737373737373,0.0365,0.9635,0.036499999999999984
6, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.494949494949495,0.024500000000000004,0.9755,0.024499999999999987
7, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3434343434343434,0.017,0.9830000000000001,0.016999999999999953
8, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.21212121212121213,0.0105,0.9895,0.010499999999999976
9, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.45454545454545453,0.0225,0.9775,0.022499999999999982
10, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
11, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
12, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
13, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
14, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
15, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.31313131313131315,0.01549225387306347,0.9845077461269365,0.015492253873063496
16, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3939393939393939,0.0195,0.9804999999999999,0.019500000000000035
17, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.35353535353535354,0.0175,0.9825,0.01749999999999998
18, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.6464646464646465,0.03200000000000001,0.968,0.03200000000000002
19, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.5757575757575758,0.028500000000000004,0.9715,0.028499999999999987
20, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,1.7272727272727273,0.0855,0.9145,0.0855
21, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.6767676767676768,0.0335,0.9664999999999999,0.033500000000000044
22, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
23, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.10101010101010101,0.005,0.995,0.005000000000000002
24, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.1111111111111111,0.005497251374312844,0.9945027486256872,0.005497251374312814
25, 0.50quarry sift&surf,20.22222222222222,DAISY+SIFT,0.10101010101010101,0.004995004995004995,0.9950049950049951,0.0049950049950049655
26, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.25252525252525254,0.012493753123438282,0.9875062468765617,0.01249375312343827
27, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
28, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
29, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.5454545454545454,0.027,0.973,0.02700000000000001
30, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.30303030303030304,0.015000000000000001,0.9849999999999999,0.015000000000000064
31, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.35353535353535354,0.0175,0.9825,0.01749999999999998
32, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.5252525252525253,0.026000000000000006,0.974,0.026000000000000013
33, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.32323232323232326,0.016000000000000004,0.9840000000000001,0.015999999999999955
34, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3434343434343434,0.017,0.9830000000000001,0.016999999999999953
35, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.23232323232323232,0.0115,0.9885,0.011499999999999977
36, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
37, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
38, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
39, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.16161616161616163,0.008000000000000002,0.992,0.008000000000000005
40, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.36363636363636365,0.018000000000000002,0.982,0.01800000000000001
41, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.21212121212121213,0.0105,0.9895,0.010499999999999976
42, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.26262626262626265,0.012993503248375815,0.9870064967516242,0.012993503248375799
43, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.2727272727272727,0.0135,0.9864999999999999,0.013500000000000035
44, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3333333333333333,0.0165,0.9835,0.01649999999999998
45, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.3838383838383838,0.019,0.981,0.019000000000000006
46, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.5454545454545454,0.027,0.973,0.02700000000000001
47, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.15151515151515152,0.007500000000000001,0.9924999999999999,0.007500000000000032
48, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
49, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
50, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
51, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.09090909090909091,0.0045000000000000005,0.9955,0.0044999999999999745
52, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
53, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.15151515151515152,0.007500000000000001,0.9924999999999999,0.007500000000000032
54, 0.50quarry sift&surf,20.21212121212121,DAISY+SIFT,0.1414141414141414,0.0069965017491254375,0.9930034982508745,0.006996501749125456
55, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.18181818181818182,0.009000000000000001,0.9909999999999999,0.00900000000000006
56, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.24242424242424243,0.012000000000000002,0.988,0.012000000000000004
57, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.20202020202020202,0.01,0.9900000000000001,0.009999999999999948
58, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
59, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
60, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
61, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.21212121212121213,0.0105,0.9895,0.010499999999999976
62, 0.50quarry sift&surf,20.2020202020202,DAISY+SIFT,0.20202020202020202,0.01,0.9900000000000001,0.009999999999999948
