,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1717171717171717,0.0085,0.9914999999999999,0.008500000000000032
1,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
2,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,1.3232323232323233,0.0655,0.9345000000000001,0.06549999999999995
3,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.6666666666666666,0.033,0.967,0.033000000000000015
4,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.8888888888888888,0.044,0.956,0.04400000000000002
5,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.9595959595959596,0.0475,0.9525,0.0475
6,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,1.8484848484848484,0.0915,0.9085000000000001,0.09149999999999996
7,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,1.9595959595959596,0.097,0.903,0.09699999999999999
8,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.20202020202020202,0.01,0.9900000000000001,0.009999999999999948
9,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.29292929292929293,0.0145,0.9854999999999999,0.014500000000000035
10,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
11,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
12,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,1.0808080808080809,0.053500000000000006,0.9465,0.0535
13,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.10101010101010101,0.005,0.995,0.005000000000000002
14,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.9090909090909091,0.045,0.955,0.04500000000000002
15,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.32323232323232326,0.016000000000000004,0.9840000000000001,0.015999999999999955
16,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.797979797979798,0.03950000000000001,0.9604999999999999,0.03950000000000005
17,indus 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
