,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.45454545454545453,0.0225,0.9775,0.022499999999999982
1,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.37373737373737376,0.018500000000000003,0.9815,0.018499999999999982
2,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5151515151515151,0.025500000000000002,0.9744999999999999,0.02550000000000004
3,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.40404040404040403,0.02,0.98,0.020000000000000007
4,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.45454545454545453,0.0225,0.9775,0.022499999999999982
5,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.9393939393939394,0.04647676161919041,0.9535232383808097,0.04647676161919038
6,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.8484848484848485,0.041979010494752625,0.9580209895052474,0.04197901049475262
7,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.30303030303030304,0.015000000000000001,0.9849999999999999,0.015000000000000064
8,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.2222222222222222,0.010994502748625687,0.9890054972513743,0.010994502748625684
9,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.6666666666666666,0.033,0.967,0.033000000000000015
10,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.26262626262626265,0.013000000000000003,0.987,0.013000000000000006
11,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.1717171717171717,0.00849575212393803,0.991504247876062,0.008495752123938041
12,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
13,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
14,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
15,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.3939393939393939,0.0195,0.9804999999999999,0.019500000000000035
16,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
17,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.3434343434343434,0.017,0.9830000000000001,0.016999999999999953
18,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5353535353535354,0.026500000000000003,0.9734999999999999,0.02650000000000004
19,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5050505050505051,0.025000000000000005,0.975,0.025000000000000012
20,quarry 0.35 sift&surf,20.22222222222222,DAISY+SIFT,1.878787878787879,0.09290709290709291,0.9070929070929071,0.09290709290709288
21,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5656565656565656,0.028,0.9720000000000001,0.02799999999999996
22,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.26262626262626265,0.012993503248375815,0.9870064967516242,0.012993503248375799
23,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1414141414141414,0.007,0.993,0.007000000000000004
24,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
25,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.13131313131313133,0.0065000000000000014,0.9934999999999999,0.006500000000000031
26,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
27,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5454545454545454,0.027,0.973,0.02700000000000001
28,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.23232323232323232,0.0115,0.9885,0.011499999999999977
29,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5252525252525253,0.026000000000000006,0.974,0.026000000000000013
30,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.6767676767676768,0.0335,0.9664999999999999,0.033500000000000044
31,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.29292929292929293,0.0145,0.9854999999999999,0.014500000000000035
32,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5050505050505051,0.025000000000000005,0.975,0.025000000000000012
33,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.4444444444444444,0.021989005497251374,0.9780109945027488,0.021989005497251312
34,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.47474747474747475,0.0235,0.9765,0.02349999999999998
35,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.36363636363636365,0.018000000000000002,0.982,0.01800000000000001
36,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.21212121212121213,0.010494752623688156,0.9895052473763118,0.010494752623688154
37,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.24242424242424243,0.012000000000000002,0.988,0.012000000000000004
38,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
39,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.26262626262626265,0.012993503248375815,0.9870064967516242,0.012993503248375799
40,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.35353535353535354,0.0175,0.9825,0.01749999999999998
41,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.26262626262626265,0.012993503248375815,0.9870064967516242,0.012993503248375799
42,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.3333333333333333,0.0165,0.9835,0.01649999999999998
43,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.42424242424242425,0.021,0.979,0.021000000000000008
44,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.26262626262626265,0.013000000000000003,0.987,0.013000000000000006
45,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.5050505050505051,0.025000000000000005,0.975,0.025000000000000012
46,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.7373737373737373,0.0365,0.9635,0.036499999999999984
47,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.24242424242424243,0.012000000000000002,0.988,0.012000000000000004
48,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.2222222222222222,0.011,0.989,0.011000000000000005
49,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1919191919191919,0.0095,0.9905,0.009499999999999975
50,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.1111111111111111,0.005497251374312844,0.9945027486256872,0.005497251374312814
51,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.12121212121212122,0.006000000000000001,0.994,0.006000000000000002
52,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
53,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.21212121212121213,0.0105,0.9895,0.010499999999999976
54,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.1919191919191919,0.009495252373813092,0.990504747626187,0.00949525237381304
55,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.2828282828282828,0.014,0.986,0.014000000000000007
56,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.26262626262626265,0.013000000000000003,0.987,0.013000000000000006
57,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.29292929292929293,0.0145,0.9854999999999999,0.014500000000000035
58,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.25252525252525254,0.012500000000000002,0.9875,0.01249999999999998
59,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.2727272727272727,0.0135,0.9864999999999999,0.013500000000000035
60,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.1111111111111111,0.0055,0.9945,0.0054999999999999745
61,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.30303030303030304,0.015000000000000001,0.9849999999999999,0.015000000000000064
62,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.48484848484848486,0.024000000000000004,0.976,0.024000000000000007
63,quarry 0.35 sift&surf,20.21212121212121,DAISY+SIFT,0.25252525252525254,0.012493753123438282,0.9875062468765617,0.01249375312343827
64,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.35353535353535354,0.0175,0.9825,0.01749999999999998
65,quarry 0.35 sift&surf,20.2020202020202,DAISY+SIFT,0.36363636363636365,0.018000000000000002,0.982,0.01800000000000001
