,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,all metrics ind(0.35),184.7979797979798,BRISK,0.9595959595959596,0.005192675594424706,0.9948073244055753,0.005192675594424709
1,all metrics ind(0.35),88.08080808080808,BRISK,0.1111111111111111,0.0012614678899082567,0.9987385321100917,0.0012614678899082932
2,all metrics ind(0.35),104.70707070707071,BRISK,1.1414141414141414,0.010901022573798958,0.989098977426201,0.010901022573798975
3,all metrics ind(0.35),110.4949494949495,BRISK,0.26262626262626265,0.002376816893683152,0.9976231831063169,0.002376816893683114
4,all metrics ind(0.35),200.68686868686868,BRISK,2.1818181818181817,0.010871753573585665,0.9891282464264143,0.010871753573585692
5,all metrics ind(0.35),150.8080808080808,BRISK,1.2222222222222223,0.008104487608841261,0.9918955123911587,0.008104487608841282
6,all metrics ind(0.35),181.03030303030303,BRISK,2.04040404040404,0.011271063497377524,0.9887289365026225,0.01127106349737751
7,all metrics ind(0.35),186.08080808080808,BRISK,1.5757575757575757,0.008468135924438172,0.9915318640755619,0.00846813592443812
8,all metrics ind(0.35),145.94949494949495,BRISK,2.090909090909091,0.01432625095162295,0.985673749048377,0.014326250951622968
9,all metrics ind(0.35),111.74747474747475,BRISK,1.0707070707070707,0.009581487842357407,0.9904185121576425,0.009581487842357435
10,all metrics ind(0.35),86.71717171717172,BRISK,2.202020202020202,0.02539312754804892,0.974606872451951,0.025393127548048965
11,all metrics ind(0.35),122.08080808080808,BRISK,3.090909090909091,0.025318550388879695,0.9746814496111202,0.025318550388879726
12,all metrics ind(0.35),123.87878787878788,BRISK,3.6161616161616164,0.029191128506197,0.970808871493803,0.029191128506196994
13,all metrics ind(0.35),97.6969696969697,BRISK,1.898989898989899,0.01943755169561621,0.9805624483043838,0.019437551695616218
14,all metrics ind(0.35),100.84848484848484,BRISK,5.343434343434343,0.05298477564102564,0.9470152243589745,0.0529847756410256
15,all metrics ind(0.35),89.28282828282828,BRISK,1.696969696969697,0.019006674963231135,0.9809933250367688,0.01900667496323115
16,all metrics ind(0.35),90.58585858585859,BRISK,3.080808080808081,0.03400981266726137,0.9659901873327386,0.034009812667261406
17,all metrics ind(0.35),158.2020202020202,BRISK,1.2525252525252526,0.007917251947388584,0.9920827480526113,0.007917251947388633
18,all metrics ind(0.35),156.0,BRISK,3.2626262626262625,0.020914270914270915,0.979085729085729,0.02091427091427096
19,all metrics ind(0.35),190.3838383838384,BRISK,4.454545454545454,0.02339770797962648,0.9766022920203734,0.023397707979626536
20,all metrics ind(0.35),126.36363636363636,BRISK,2.282828282828283,0.018065547561950442,0.9819344524380496,0.018065547561950442
21,all metrics ind(0.35),127.11111111111111,BRISK,1.202020202020202,0.009456452638270819,0.9905435473617291,0.009456452638270852
22,all metrics ind(0.35),146.64646464646464,BRISK,2.6363636363636362,0.01797768287642926,0.9820223171235708,0.017977682876429233
23,all metrics ind(0.35),224.75757575757575,BRISK,1.7777777777777777,0.007909756864860007,0.99209024313514,0.00790975686485998
24,all metrics ind(0.35),244.8080808080808,BRISK,5.333333333333333,0.021785773229905925,0.9782142267700941,0.021785773229905932
25,all metrics ind(0.35),275.7676767676768,BRISK,3.7373737373737375,0.013552617120252004,0.986447382879748,0.013552617120252013
26,all metrics ind(0.35),351.62626262626264,BRISK,3.0303030303030303,0.008617965585590762,0.9913820344144093,0.008617965585590727
27,all metrics ind(0.35),157.3030303030303,BRISK,2.787878787878788,0.017722982084376806,0.9822770179156233,0.017722982084376764
28,all metrics ind(0.35),116.77777777777777,BRISK,1.4242424242424243,0.012196176801314766,0.9878038231986852,0.01219617680131478
29,all metrics ind(0.35),165.8080808080808,BRISK,1.101010101010101,0.006640268047517515,0.9933597319524825,0.006640268047517504
30,all metrics ind(0.35),223.12121212121212,BRISK,1.6262626262626263,0.007288695730906786,0.9927113042690933,0.007288695730906761
31,all metrics ind(0.35),327.1010101010101,BRISK,1.6161616161616161,0.004940864033597875,0.9950591359664022,0.004940864033597856
32,all metrics ind(0.35),174.4949494949495,BRISK,0.40404040404040403,0.0023154848046309695,0.9976845151953689,0.0023154848046310164
33,all metrics ind(0.35),122.71717171717172,BRISK,1.2525252525252526,0.010206601366367602,0.9897933986336325,0.010206601366367566
34,all metrics ind(0.35),171.42424242424244,BRISK,1.1313131313131313,0.006599493253196629,0.9934005067468034,0.006599493253196636
35,all metrics ind(0.35),228.7979797979798,BRISK,2.6161616161616164,0.011434373758332967,0.9885656262416671,0.01143437375833293
36,all metrics ind(0.35),218.95959595959596,BRISK,1.606060606060606,0.007334963325183374,0.9926650366748166,0.007334963325183364
37,all metrics ind(0.35),130.6060606060606,BRISK,2.0606060606060606,0.01577726218097448,0.9842227378190255,0.015777262180974503
38,all metrics ind(0.35),103.34343434343434,BRISK,0.30303030303030304,0.0029322646857589682,0.9970677353142411,0.0029322646857589405
39,all metrics ind(0.35),158.41414141414143,BRISK,1.8282828282828283,0.011541159216986546,0.9884588407830135,0.011541159216986526
40,all metrics ind(0.35),152.78787878787878,BRISK,1.9696969696969697,0.01289170963903213,0.9871082903609679,0.012891709639032104
41,all metrics ind(0.35),107.72727272727273,BRISK,0.5757575757575758,0.005344585091420534,0.9946554149085794,0.005344585091420543
42,all metrics ind(0.35),100.5050505050505,BRISK,0.7878787878787878,0.007839195979899497,0.9921608040201005,0.00783919597989948
43,all metrics ind(0.35),124.96969696969697,BRISK,1.1515151515151516,0.00921435499515034,0.9907856450048497,0.009214354995150336
44,all metrics ind(0.35),147.7070707070707,BRISK,0.696969696969697,0.004718593995760105,0.99528140600424,0.004718593995760064
