,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,all metrics quarry(0.35),711.0505050505051,BRISK,1.7272727272727273,0.0024291843054805805,0.9975708156945194,0.0024291843054805693
1,all metrics quarry(0.35),655.5555555555555,BRISK,1.3535353535353536,0.0020647149460708784,0.9979352850539291,0.002064714946070867
2,all metrics quarry(0.35),677.8080808080808,BRISK,0.29292929292929293,0.00043217143793869124,0.9995678285620613,0.00043217143793870664
3,all metrics quarry(0.35),788.4343434343434,BRISK,0.98989898989899,0.0012555249503555187,0.9987444750496445,0.0012555249503555215
4,all metrics quarry(0.35),568.5959595959596,BRISK,0.9696969696969697,0.0017054236023520634,0.9982945763976478,0.0017054236023521076
5,all metrics quarry(0.35),378.82828282828285,BRISK,1.393939393939394,0.0036796075085324233,0.9963203924914676,0.00367960750853239
6,all metrics quarry(0.35),359.64646464646466,BRISK,1.9292929292929293,0.005364415110237326,0.9946355848897626,0.0053644151102373834
7,all metrics quarry(0.35),410.26262626262627,BRISK,3.676767676767677,0.008961985424463265,0.9910380145755368,0.008961985424463257
8,all metrics quarry(0.35),401.8888888888889,BRISK,5.101010101010101,0.012692588031266494,0.9873074119687335,0.012692588031266494
9,all metrics quarry(0.35),336.2828282828283,BRISK,3.8181818181818183,0.011354079058031959,0.988645920941968,0.011354079058031973
10,all metrics quarry(0.35),324.90909090909093,BRISK,5.96969696969697,0.018373437791456816,0.981626562208543,0.018373437791456882
11,all metrics quarry(0.35),358.1010101010101,BRISK,2.727272727272727,0.0076159314002030905,0.9923840685997969,0.007615931400203102
12,all metrics quarry(0.35),548.1515151515151,BRISK,0.9393939393939394,0.001713748687047377,0.9982862513129526,0.0017137486870474053
13,all metrics quarry(0.35),910.1313131313132,BRISK,0.2727272727272727,0.0002996570591434247,0.9997003429408566,0.00029965705914339515
14,all metrics quarry(0.35),705.8484848484849,BRISK,0.08080808080808081,0.0001144836073784685,0.9998855163926216,0.0001144836073784462
15,all metrics quarry(0.35),934.8484848484849,BRISK,0.06060606060606061,6.482982171799028e-05,0.999935170178282,6.48298217179751e-05
16,all metrics quarry(0.35),763.5050505050505,BRISK,0.29292929292929293,0.0003836638575416408,0.9996163361424583,0.0003836638575416896
17,all metrics quarry(0.35),734.8282828282828,BRISK,0.8585858585858586,0.001168417001154671,0.9988315829988452,0.0011684170011547234
18,all metrics quarry(0.35),526.5151515151515,BRISK,2.8585858585858586,0.005429256594724221,0.9945707434052756,0.005429256594724297
19,all metrics quarry(0.35),521.929292929293,BRISK,4.232323232323233,0.00810899730990304,0.991891002690097,0.00810899730990302
20,all metrics quarry(0.35),488.969696969697,BRISK,3.6363636363636362,0.007436787307882994,0.992563212692117,0.007436787307882995
21,all metrics quarry(0.35),588.5454545454545,BRISK,3.303030303030303,0.005612192359180312,0.9943878076408198,0.005612192359180256
22,all metrics quarry(0.35),582.7575757575758,BRISK,3.323232323232323,0.005702598235487841,0.9942974017645121,0.005702598235487875
23,all metrics quarry(0.35),547.6565656565657,BRISK,2.888888888888889,0.005275000922202958,0.994724999077797,0.005275000922202984
24,all metrics quarry(0.35),691.989898989899,BRISK,1.3333333333333333,0.001926810398937335,0.9980731896010626,0.0019268103989373596
25,all metrics quarry(0.35),895.5252525252525,BRISK,0.7474747474747475,0.000834677464836392,0.9991653225351637,0.000834677464836367
26,all metrics quarry(0.35),984.3535353535353,BRISK,0.25252525252525254,0.00025653918379493285,0.999743460816205,0.00025653918379495605
27,all metrics quarry(0.35),742.5555555555555,BRISK,0.5252525252525253,0.0007073578822793248,0.9992926421177206,0.0007073578822793526
