,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.3185840707964602,0.018000000000000002,0.9819999999999999,0.018000000000000065
1,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.17699115044247787,0.01,0.9899999999999999,0.01000000000000006
2,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.11504424778761062,0.006500000000000001,0.9934999999999999,0.006500000000000031
3,Industrial Dataset,17.707964601769913,DAISY+SIFT,0.12389380530973451,0.006996501749125437,0.9930034982508745,0.006996501749125454
4,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.08849557522123894,0.005,0.9950000000000001,0.004999999999999946
5,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.22123893805309736,0.0125,0.9874999999999999,0.012500000000000034
6,Industrial Dataset,17.707964601769913,DAISY+SIFT,0.4336283185840708,0.024487756121939028,0.975512243878061,0.024487756121939007
7,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.1415929203539823,0.008,0.992,0.008000000000000004
8,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.30973451327433627,0.017499999999999998,0.9825,0.017499999999999977
9,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.12389380530973451,0.007,0.993,0.007000000000000004
10,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.4778761061946903,0.027000000000000003,0.9730000000000001,0.026999999999999958
11,Industrial Dataset,17.707964601769913,DAISY+SIFT,0.1592920353982301,0.008995502248875561,0.9910044977511244,0.008995502248875568
12,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.1415929203539823,0.008,0.992,0.008000000000000004
13,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.336283185840708,0.019000000000000003,0.9810000000000001,0.018999999999999954
14,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.23008849557522124,0.013000000000000001,0.9870000000000001,0.01299999999999995
15,Industrial Dataset,17.707964601769913,DAISY+SIFT,0.07964601769911504,0.004497751124437781,0.9955022488755622,0.004497751124437812
16,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.09734513274336283,0.0055000000000000005,0.9944999999999999,0.00550000000000003
17,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.12389380530973451,0.007,0.993,0.007000000000000004
18,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.10619469026548672,0.006,0.994,0.006000000000000003
19,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.4424778761061947,0.025,0.975,0.025000000000000012
20,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.12389380530973451,0.007,0.993,0.007000000000000004
21,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.3008849557522124,0.017,0.983,0.017000000000000008
22,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.09734513274336283,0.0055000000000000005,0.9944999999999999,0.00550000000000003
23,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.5575221238938053,0.0315,0.9685,0.031499999999999986
24,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.12389380530973451,0.007,0.993,0.007000000000000004
25,Industrial Dataset,17.699115044247787,DAISY+SIFT,1.3893805309734513,0.0785,0.9215,0.0785
26,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.7876106194690266,0.044500000000000005,0.9554999999999999,0.044500000000000046
27,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.37168141592920356,0.021,0.9790000000000001,0.020999999999999953
28,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.48672566371681414,0.0275,0.9724999999999999,0.027500000000000045
29,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.08849557522123894,0.005,0.9950000000000001,0.004999999999999946
30,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.6637168141592921,0.037500000000000006,0.9624999999999999,0.03750000000000005
31,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.24778761061946902,0.014,0.986,0.014000000000000007
32,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.2831858407079646,0.016,0.984,0.016000000000000007
33,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.13274336283185842,0.0075000000000000015,0.9924999999999999,0.007500000000000032
34,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.10619469026548672,0.006,0.994,0.006000000000000003
35,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.09734513274336283,0.0055000000000000005,0.9944999999999999,0.00550000000000003
36,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.11504424778761062,0.006500000000000001,0.9934999999999999,0.006500000000000031
37,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.6814159292035398,0.0385,0.9615,0.038499999999999986
38,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.08849557522123894,0.005,0.9950000000000001,0.004999999999999946
39,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.3008849557522124,0.017,0.983,0.017000000000000008
40,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.7787610619469026,0.044000000000000004,0.9560000000000001,0.04399999999999996
41,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.11504424778761062,0.006500000000000001,0.9934999999999999,0.006500000000000031
42,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.07964601769911504,0.0045000000000000005,0.9954999999999999,0.00450000000000003
43,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.4690265486725664,0.026500000000000003,0.9735,0.026499999999999985
44,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.09734513274336283,0.0055000000000000005,0.9944999999999999,0.00550000000000003
45,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.07964601769911504,0.0045000000000000005,0.9954999999999999,0.00450000000000003
46,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.39823008849557523,0.022500000000000003,0.9774999999999999,0.022500000000000034
47,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.1415929203539823,0.008,0.992,0.008000000000000004
48,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.7079646017699115,0.04,0.96,0.040000000000000015
49,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.25663716814159293,0.0145,0.9854999999999999,0.014500000000000035
50,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.11504424778761062,0.006500000000000001,0.9934999999999999,0.006500000000000031
51,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.2831858407079646,0.016,0.984,0.016000000000000007
52,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.23893805309734514,0.013500000000000002,0.9864999999999999,0.013500000000000035
53,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.061946902654867256,0.0035,0.9965,0.003499999999999974
54,Industrial Dataset,17.699115044247787,DAISY+SIFT,2.017699115044248,0.114,0.886,0.114
55,Industrial Dataset,17.699115044247787,DAISY+SIFT,3.256637168141593,0.18400000000000002,0.8160000000000001,0.184
56,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.3274336283185841,0.018500000000000003,0.9815,0.018499999999999982
57,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.4336283185840708,0.0245,0.9755,0.024499999999999984
58,Industrial Dataset,17.699115044247787,DAISY+SIFT,0.2920353982300885,0.0165,0.9835,0.01649999999999998
