,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial,86.24242424242425,SUPERPOINT,3.494949494949495,0.04052471304755211,0.9594752869524479,0.04052471304755211
1,Industrial,79.27272727272727,SUPERPOINT,3.5555555555555554,0.04485219164118247,0.9551478083588175,0.044852191641182475
2,Industrial,56.41414141414141,SUPERPOINT,3.7474747474747474,0.06642793196060877,0.9335720680393912,0.0664279319606088
3,Industrial,34.84848484848485,SUPERPOINT,3.9797979797979797,0.11420289855072463,0.8857971014492754,0.11420289855072463
4,Industrial,66.66666666666667,SUPERPOINT,7.373737373737374,0.1106060606060606,0.8893939393939394,0.1106060606060606
5,Industrial,98.25252525252525,SUPERPOINT,5.575757575757576,0.0567492546519996,0.9432507453480004,0.05674925465199963
6,Industrial,95.9090909090909,SUPERPOINT,16.696969696969695,0.1740916271721959,0.8259083728278042,0.17409162717219587
7,Industrial,96.86868686868686,SUPERPOINT,16.373737373737374,0.16903023983315954,0.8309697601668405,0.16903023983315948
8,Industrial,110.54545454545455,SUPERPOINT,5.4646464646464645,0.04943347953216374,0.9505665204678363,0.04943347953216372
9,Industrial,91.66666666666667,SUPERPOINT,4.454545454545454,0.04859504132231404,0.9514049586776859,0.04859504132231405
10,Industrial,90.20202020202021,SUPERPOINT,0.6666666666666666,0.007390817469204927,0.992609182530795,0.007390817469204965
11,Industrial,66.39393939393939,SUPERPOINT,0.2222222222222222,0.0033470257112429634,0.996652974288757,0.0033470257112429877
12,Industrial,77.91919191919192,SUPERPOINT,8.8989898989899,0.1142079336271714,0.8857920663728287,0.11420793362717134
13,Industrial,93.79797979797979,SUPERPOINT,0.31313131313131315,0.003338358819728624,0.9966616411802715,0.0033383588197285863
14,Industrial,94.06060606060606,SUPERPOINT,9.222222222222221,0.0980455326460481,0.9019544673539518,0.09804553264604815
15,Industrial,90.07070707070707,SUPERPOINT,4.848484848484849,0.05382976337333184,0.9461702366266682,0.05382976337333181
16,Industrial,98.6969696969697,SUPERPOINT,8.808080808080808,0.08924368027837477,0.9107563197216253,0.08924368027837475
17,Industrial,90.44444444444444,SUPERPOINT,1.3232323232323233,0.014630332812150995,0.985369667187849,0.014630332812150988
18,Industrial,104.98989898989899,SUPERPOINT,2.272727272727273,0.021647104098518378,0.9783528959014817,0.021647104098518357
19,Industrial,85.12121212121212,SUPERPOINT,3.3838383838383836,0.03975317432063605,0.960246825679364,0.039753174320636006
20,Industrial,89.53535353535354,SUPERPOINT,11.434343434343434,0.12770758122743683,0.8722924187725632,0.12770758122743678
21,Industrial,85.61616161616162,SUPERPOINT,14.666666666666666,0.17130722038697496,0.828692779613025,0.17130722038697496
22,Industrial,72.75757575757575,SUPERPOINT,14.414141414141413,0.19811189782035263,0.8018881021796473,0.1981118978203526
23,Industrial,57.07070707070707,SUPERPOINT,4.858585858585859,0.08513274336283186,0.9148672566371681,0.0851327433628319
24,Industrial,54.94949494949495,SUPERPOINT,15.404040404040405,0.2803308823529412,0.7196691176470589,0.2803308823529412
25,Industrial,76.14141414141415,SUPERPOINT,5.606060606060606,0.07362695675245423,0.9263730432475458,0.07362695675245423
26,Industrial,78.53535353535354,SUPERPOINT,9.848484848484848,0.12540192926045016,0.8745980707395499,0.12540192926045016
27,Industrial,80.20202020202021,SUPERPOINT,7.666666666666667,0.09559193954659949,0.9044080604534005,0.0955919395465995
28,Industrial,67.18181818181819,SUPERPOINT,10.131313131313131,0.15080439031724552,0.8491956096827544,0.15080439031724555
29,Industrial,45.02020202020202,SUPERPOINT,5.575757575757576,0.12385012340139108,0.8761498765986089,0.12385012340139111
30,Industrial,46.81818181818182,SUPERPOINT,6.97979797979798,0.14908306364617044,0.8509169363538296,0.14908306364617044
31,Industrial,45.474747474747474,SUPERPOINT,6.1313131313131315,0.1348289649044869,0.8651710350955131,0.1348289649044869
32,Industrial,44.75757575757576,SUPERPOINT,6.9393939393939394,0.15504400812457683,0.8449559918754231,0.15504400812457683
33,Industrial,33.313131313131315,SUPERPOINT,2.6363636363636362,0.07913887204366282,0.9208611279563371,0.07913887204366285
34,Industrial,39.21212121212121,SUPERPOINT,6.171717171717172,0.15739309634209173,0.8426069036579084,0.15739309634209167
35,Industrial,43.60606060606061,SUPERPOINT,4.181818181818182,0.09589993050729673,0.9041000694927033,0.09589993050729674
36,Industrial,38.676767676767675,SUPERPOINT,5.454545454545454,0.1410289892922434,0.8589710107077566,0.1410289892922434
37,Industrial,43.5959595959596,SUPERPOINT,7.626262626262626,0.17493049119555143,0.8250695088044485,0.17493049119555146
38,Industrial,45.494949494949495,SUPERPOINT,6.646464646464646,0.1460923623445826,0.8539076376554174,0.1460923623445826
39,Industrial,36.73737373737374,SUPERPOINT,0.7171717171717171,0.019521583722848502,0.9804784162771515,0.01952158372284851
40,Industrial,26.67676767676768,SUPERPOINT,3.303030303030303,0.12381673608481636,0.8761832639151836,0.12381673608481636
