,Dataset,Number of Keypoints,Detector/Descriptor
0,Quarry0.35,336.0,AKAZE
1,Quarry0.35,356.74,AKAZE
2,Quarry0.35,352.94,AKAZE
3,Quarry0.35,402.31,AKAZE
4,Quarry0.35,394.13,AKAZE
5,Quarry0.35,335.47,AKAZE
6,Quarry0.35,273.22,AKAZE
7,Quarry0.35,263.85,AKAZE
8,Quarry0.35,280.58,AKAZE
9,Quarry0.35,279.86,AKAZE
10,Quarry0.35,247.54,AKAZE
11,Quarry0.35,238.77,AKAZE
12,Quarry0.35,269.01,AKAZE
13,Quarry0.35,329.81,AKAZE
14,Quarry0.35,439.55,AKAZE
15,Quarry0.35,384.4,AKAZE
16,Quarry0.35,469.69,AKAZE
17,Quarry0.35,425.27,AKAZE
18,Quarry0.35,395.17,AKAZE
19,Quarry0.35,328.7,AKAZE
20,Quarry0.35,329.73,AKAZE
21,Quarry0.35,313.76,AKAZE
22,Quarry0.35,342.44,AKAZE
23,Quarry0.35,345.69,AKAZE
24,Quarry0.35,347.65,AKAZE
25,Quarry0.35,388.17,AKAZE
26,Quarry0.35,450.24,AKAZE
27,Quarry0.35,486.21,AKAZE
28,Quarry0.35,400.68,AKAZE
29,Quarry0.35,452.29,AKAZE
30,Quarry0.35,501.35,AKAZE
31,Quarry0.35,486.74,AKAZE
32,Quarry0.35,454.66,AKAZE
33,Quarry0.35,421.84,AKAZE
34,Quarry0.35,375.17,AKAZE
35,Quarry0.35,338.63,AKAZE
36,Quarry0.35,336.39,AKAZE
37,Quarry0.35,330.06,AKAZE
38,Quarry0.35,352.93,AKAZE
39,Quarry0.35,392.45,AKAZE
40,Quarry0.35,433.62,AKAZE
41,Quarry0.35,394.97,AKAZE
42,Quarry0.35,456.35,AKAZE
43,Quarry0.35,460.68,AKAZE
44,Quarry0.35,442.42,AKAZE
45,Quarry0.35,429.77,AKAZE
46,Quarry0.35,397.93,AKAZE
47,Quarry0.35,421.94,AKAZE
48,Quarry0.35,428.98,AKAZE
49,Quarry0.35,441.58,AKAZE
50,Quarry0.35,511.79,AKAZE
51,Quarry0.35,292.93,AKAZE
52,Quarry0.35,240.07,AKAZE
53,Quarry0.35,233.06,AKAZE
54,Quarry0.35,245.18,AKAZE
55,Quarry0.35,252.9,AKAZE
56,Quarry0.35,280.22,AKAZE
57,Quarry0.35,310.37,AKAZE
58,Quarry0.35,350.0,AKAZE
59,Quarry0.35,387.58,AKAZE
60,Quarry0.35,403.21,AKAZE
61,Quarry0.35,384.57,AKAZE
62,Quarry0.35,384.77,AKAZE
63,Quarry0.35,333.2,AKAZE
64,Quarry0.35,250.63,AKAZE
65,Quarry0.35,257.03,AKAZE
66,Quarry0.35,235.93,AKAZE
67,Quarry0.35,223.61,AKAZE
68,Quarry0.35,229.26,AKAZE
69,Quarry0.35,244.01,AKAZE
