,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial,66.11,SUPERPOINT
1,Industrial,85.38,SUPERPOINT
2,Industrial,78.48,SUPERPOINT
3,Industrial,55.85,SUPERPOINT
4,Industrial,34.5,SUPERPOINT
5,Industrial,66.0,SUPERPOINT
6,Industrial,97.27,SUPERPOINT
7,Industrial,94.95,SUPERPOINT
8,Industrial,95.9,SUPERPOINT
9,Industrial,109.44,SUPERPOINT
10,Industrial,90.75,SUPERPOINT
11,Industrial,89.3,SUPERPOINT
12,Industrial,65.73,SUPERPOINT
13,Industrial,77.14,SUPERPOINT
14,Industrial,92.86,SUPERPOINT
15,Industrial,93.12,SUPERPOINT
16,Industrial,89.17,SUPERPOINT
17,Industrial,97.71,SUPERPOINT
18,Industrial,89.54,SUPERPOINT
19,Industrial,103.94,SUPERPOINT
20,Industrial,84.27,SUPERPOINT
21,Industrial,88.64,SUPERPOINT
22,Industrial,84.76,SUPERPOINT
23,Industrial,72.03,SUPERPOINT
24,Industrial,56.5,SUPERPOINT
25,Industrial,54.4,SUPERPOINT
26,Industrial,75.38,SUPERPOINT
27,Industrial,77.75,SUPERPOINT
28,Industrial,79.4,SUPERPOINT
29,Industrial,66.51,SUPERPOINT
30,Industrial,44.57,SUPERPOINT
31,Industrial,46.35,SUPERPOINT
32,Industrial,45.02,SUPERPOINT
33,Industrial,44.31,SUPERPOINT
34,Industrial,32.98,SUPERPOINT
35,Industrial,38.82,SUPERPOINT
36,Industrial,43.17,SUPERPOINT
37,Industrial,38.29,SUPERPOINT
38,Industrial,43.16,SUPERPOINT
39,Industrial,45.04,SUPERPOINT
40,Industrial,36.37,SUPERPOINT
41,Industrial,26.41,SUPERPOINT
42,Industrial,22.71,SUPERPOINT
43,Industrial,38.2,SUPERPOINT
44,Industrial,41.09,SUPERPOINT
45,Industrial,51.73,SUPERPOINT
46,Industrial,44.86,SUPERPOINT
47,Industrial,47.7,SUPERPOINT
48,Industrial,52.48,SUPERPOINT
49,Industrial,52.44,SUPERPOINT
50,Industrial,42.81,SUPERPOINT
51,Industrial,43.0,SUPERPOINT
52,Industrial,56.96,SUPERPOINT
53,Industrial,66.86,SUPERPOINT
54,Industrial,57.32,SUPERPOINT
55,Industrial,52.06,SUPERPOINT
56,Industrial,65.83,SUPERPOINT
57,Industrial,70.23,SUPERPOINT
58,Industrial,81.76,SUPERPOINT
59,Industrial,93.87,SUPERPOINT
60,Industrial,87.4,SUPERPOINT
61,Industrial,85.38,SUPERPOINT
62,Industrial,78.48,SUPERPOINT
63,Industrial,55.85,SUPERPOINT
64,Industrial,34.5,SUPERPOINT
65,Industrial,66.0,SUPERPOINT
66,Industrial,97.27,SUPERPOINT
67,Industrial,94.95,SUPERPOINT
68,Industrial,95.9,SUPERPOINT
69,Industrial,109.44,SUPERPOINT
70,Industrial,90.75,SUPERPOINT
71,Industrial,89.3,SUPERPOINT
72,Industrial,65.73,SUPERPOINT
73,Industrial,77.14,SUPERPOINT
74,Industrial,92.86,SUPERPOINT
75,Industrial,93.12,SUPERPOINT
76,Industrial,89.17,SUPERPOINT
77,Industrial,97.71,SUPERPOINT
78,Industrial,89.54,SUPERPOINT
79,Industrial,103.94,SUPERPOINT
80,Industrial,84.27,SUPERPOINT
81,Industrial,88.64,SUPERPOINT
82,Industrial,84.76,SUPERPOINT
83,Industrial,72.03,SUPERPOINT
84,Industrial,56.5,SUPERPOINT
85,Industrial,54.4,SUPERPOINT
86,Industrial,75.38,SUPERPOINT
87,Industrial,77.75,SUPERPOINT
88,Industrial,79.4,SUPERPOINT
89,Industrial,66.51,SUPERPOINT
90,Industrial,44.57,SUPERPOINT
91,Industrial,46.35,SUPERPOINT
92,Industrial,45.02,SUPERPOINT
93,Industrial,44.31,SUPERPOINT
94,Industrial,32.98,SUPERPOINT
95,Industrial,38.82,SUPERPOINT
96,Industrial,43.17,SUPERPOINT
97,Industrial,38.29,SUPERPOINT
98,Industrial,43.16,SUPERPOINT
99,Industrial,45.04,SUPERPOINT
