,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP,31.49,SUPERPOINT
1,MAP,36.45,SUPERPOINT
2,MAP,40.46,SUPERPOINT
3,MAP,45.45,SUPERPOINT
4,MAP,49.87,SUPERPOINT
5,MAP,30.29,SUPERPOINT
6,MAP,25.74,SUPERPOINT
7,MAP,21.77,SUPERPOINT
8,MAP,20.73,SUPERPOINT
9,MAP,19.18,SUPERPOINT
10,MAP,17.68,SUPERPOINT
11,MAP,15.83,SUPERPOINT
12,MAP,15.71,SUPERPOINT
13,MAP,16.47,SUPERPOINT
14,MAP,16.55,SUPERPOINT
15,MAP,15.83,SUPERPOINT
16,MAP,17.07,SUPERPOINT
17,MAP,16.71,SUPERPOINT
18,MAP,17.72,SUPERPOINT
19,MAP,19.0,SUPERPOINT
20,MAP,17.87,SUPERPOINT
21,MAP,17.22,SUPERPOINT
22,MAP,17.1,SUPERPOINT
23,MAP,17.89,SUPERPOINT
24,MAP,18.22,SUPERPOINT
25,MAP,16.74,SUPERPOINT
26,MAP,16.34,SUPERPOINT
27,MAP,16.59,SUPERPOINT
28,MAP,17.82,SUPERPOINT
29,MAP,18.37,SUPERPOINT
30,MAP,17.06,SUPERPOINT
31,MAP,15.76,SUPERPOINT
32,MAP,15.75,SUPERPOINT
33,MAP,14.69,SUPERPOINT
34,MAP,13.95,SUPERPOINT
35,MAP,12.96,SUPERPOINT
36,MAP,12.82,SUPERPOINT
37,MAP,12.7,SUPERPOINT
38,MAP,13.08,SUPERPOINT
39,MAP,13.6,SUPERPOINT
40,MAP,12.94,SUPERPOINT
41,MAP,14.92,SUPERPOINT
42,MAP,15.02,SUPERPOINT
43,MAP,15.16,SUPERPOINT
44,MAP,14.16,SUPERPOINT
45,MAP,14.55,SUPERPOINT
46,MAP,14.31,SUPERPOINT
47,MAP,13.7,SUPERPOINT
48,MAP,13.41,SUPERPOINT
49,MAP,14.84,SUPERPOINT
50,MAP,14.66,SUPERPOINT
51,MAP,14.37,SUPERPOINT
52,MAP,14.74,SUPERPOINT
53,MAP,13.97,SUPERPOINT
54,MAP,14.32,SUPERPOINT
55,MAP,15.69,SUPERPOINT
56,MAP,15.58,SUPERPOINT
57,MAP,17.05,SUPERPOINT
58,MAP,18.22,SUPERPOINT
59,MAP,17.83,SUPERPOINT
60,MAP,17.73,SUPERPOINT
61,MAP,36.45,SUPERPOINT
62,MAP,40.46,SUPERPOINT
63,MAP,45.45,SUPERPOINT
64,MAP,49.87,SUPERPOINT
65,MAP,30.29,SUPERPOINT
66,MAP,25.74,SUPERPOINT
67,MAP,21.77,SUPERPOINT
68,MAP,20.73,SUPERPOINT
69,MAP,19.18,SUPERPOINT
70,MAP,17.68,SUPERPOINT
71,MAP,15.83,SUPERPOINT
72,MAP,15.71,SUPERPOINT
73,MAP,16.47,SUPERPOINT
74,MAP,16.55,SUPERPOINT
75,MAP,15.83,SUPERPOINT
76,MAP,17.07,SUPERPOINT
77,MAP,16.71,SUPERPOINT
78,MAP,17.72,SUPERPOINT
79,MAP,19.0,SUPERPOINT
80,MAP,17.87,SUPERPOINT
81,MAP,17.22,SUPERPOINT
82,MAP,17.1,SUPERPOINT
83,MAP,17.89,SUPERPOINT
84,MAP,18.22,SUPERPOINT
85,MAP,16.74,SUPERPOINT
86,MAP,16.34,SUPERPOINT
87,MAP,16.59,SUPERPOINT
88,MAP,17.82,SUPERPOINT
89,MAP,18.37,SUPERPOINT
90,MAP,17.06,SUPERPOINT
91,MAP,15.76,SUPERPOINT
92,MAP,15.75,SUPERPOINT
93,MAP,14.69,SUPERPOINT
94,MAP,13.95,SUPERPOINT
95,MAP,12.96,SUPERPOINT
96,MAP,12.82,SUPERPOINT
97,MAP,12.7,SUPERPOINT
98,MAP,13.08,SUPERPOINT
99,MAP,13.6,SUPERPOINT
