,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry new 0.75 high,2646.939393939394,BRISK+FREAK,1.6363636363636365,0.0006182097104717857,0.9993817902895282,0.0006182097104717794
1,Quarry new 0.75 high,2322.89898989899,BRISK+FREAK,1.404040404040404,0.0006044345493049002,0.9993955654506952,0.0006044345493048556
2,Quarry new 0.75 high,2088.939393939394,BRISK+FREAK,0.35353535353535354,0.0001692415560552211,0.9998307584439448,0.00016924155605523258
3,Quarry new 0.75 high,3050.121212121212,BRISK+FREAK,1.1717171717171717,0.00038415429756062024,0.9996158457024393,0.0003841542975606442
4,Quarry new 0.75 high,2203.878787878788,BRISK+FREAK,1.4444444444444444,0.0006554101125655409,0.9993445898874345,0.0006554101125655381
5,Quarry new 0.75 high,1555.5454545454545,BRISK+FREAK,3.0505050505050506,0.0019610516951408777,0.9980389483048591,0.001961051695140907
6,Quarry new 0.75 high,1498.20202020202,BRISK+FREAK,3.696969696969697,0.0024676042663933874,0.9975323957336065,0.002467604266393431
7,Quarry new 0.75 high,1700.7575757575758,BRISK+FREAK,8.83838383838384,0.005196733481811433,0.9948032665181886,0.005196733481811405
8,Quarry new 0.75 high,1660.2424242424242,BRISK+FREAK,10.05050505050505,0.006053637049475554,0.9939463629505244,0.0060536370494755735
9,Quarry new 0.75 high,1417.3939393939395,BRISK+FREAK,9.565656565656566,0.006748763558102079,0.9932512364418979,0.006748763558102067
10,Quarry new 0.75 high,1533.3030303030303,BRISK+FREAK,13.606060606060606,0.008873693155991225,0.9911263068440088,0.008873693155991203
11,Quarry new 0.75 high,1439.4444444444443,BRISK+FREAK,7.5353535353535355,0.005234904038454792,0.9947650959615452,0.005234904038454813
12,Quarry new 0.75 high,2034.6262626262626,BRISK+FREAK,2.484848484848485,0.0012212800603689656,0.9987787199396311,0.0012212800603689444
13,Quarry new 0.75 high,3307.4545454545455,BRISK+FREAK,0.0707070707070707,2.1378092951948155e-05,0.999978621907048,2.1378092951971967e-05
14,Quarry new 0.75 high,2549.6464646464647,BRISK+FREAK,0.08080808080808081,3.1693837529465366e-05,0.9999683061624707,3.1693837529394175e-05
15,Quarry new 0.75 high,3182.6969696969695,BRISK+FREAK,0.06060606060606061,1.9042359729217648e-05,0.9999809576402708,1.9042359729188835e-05
16,Quarry new 0.75 high,2621.2323232323233,BRISK+FREAK,0.0707070707070707,2.697474393260938e-05,0.9999730252560673,2.6974743932630013e-05
17,Quarry new 0.75 high,2733.787878787879,BRISK+FREAK,1.1111111111111112,0.0004064364758262669,0.9995935635241736,0.00040643647582632765
18,Quarry new 0.75 high,1911.4242424242425,BRISK+FREAK,5.404040404040404,0.002827232324513425,0.9971727676754866,0.002827232324513427
19,Quarry new 0.75 high,1886.7474747474748,BRISK+FREAK,7.777777777777778,0.004122320491680408,0.9958776795083195,0.004122320491680448
20,Quarry new 0.75 high,1848.5555555555557,BRISK+FREAK,6.9393939393939394,0.0037539547667575553,0.9962460452332424,0.0037539547667575527
21,Quarry new 0.75 high,2141.656565656566,BRISK+FREAK,7.636363636363637,0.0035656340791608496,0.9964343659208392,0.0035656340791608114
22,Quarry new 0.75 high,2102.030303030303,BRISK+FREAK,7.818181818181818,0.0037193478166851674,0.9962806521833147,0.003719347816685213
23,Quarry new 0.75 high,1925.6060606060605,BRISK+FREAK,5.262626262626263,0.002732971385107667,0.9972670286148922,0.0027329713851077094
24,Quarry new 0.75 high,2458.8585858585857,BRISK+FREAK,3.6464646464646466,0.001482990793954656,0.9985170092060454,0.0014829907939546488
25,Quarry new 0.75 high,3127.686868686869,BRISK+FREAK,0.5959595959595959,0.00019054324201252417,0.9998094567579874,0.0001905432420125719
26,Quarry new 0.75 high,3469.070707070707,BRISK+FREAK,0.0707070707070707,2.0382135931376258e-05,0.9999796178640686,2.0382135931369495e-05
27,Quarry new 0.75 high,2546.787878787879,BRISK+FREAK,0.08080808080808081,3.172941157806229e-05,0.9999682705884221,3.172941157799052e-05
28,Quarry new 0.75 high,2408.2626262626263,BRISK+FREAK,0.0707070707070707,2.9360199313810197e-05,0.9999706398006861,2.9360199313843604e-05
29,Quarry new 0.75 high,3475.7272727272725,BRISK+FREAK,0.09090909090909091,2.6155415478774882e-05,0.9999738445845212,2.6155415478782536e-05
