,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
1,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.050505050505050504,0.01,0.9900000000000001,0.009999999999999948
2,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
3,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
4,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
5,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
6,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.16161616161616163,0.03200000000000001,0.968,0.03200000000000002
7,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.26262626262626265,0.05200000000000001,0.948,0.052000000000000025
8,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.5353535353535354,0.10600000000000001,0.894,0.106
9,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.2727272727272727,0.054,0.9460000000000001,0.05399999999999997
10,Quarry new 0.75 sift&surf,5.08080808080808,SIFT,0.494949494949495,0.0974155069582505,0.9025844930417495,0.0974155069582505
11,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.31313131313131315,0.062000000000000006,0.938,0.062000000000000034
12,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
13,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.0707070707070707,0.013972055888223553,0.9860279441117764,0.01397205588822357
14,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
15,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.06060606060606061,0.011976047904191617,0.9880239520958084,0.011976047904191609
16,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.0707070707070707,0.013972055888223553,0.9860279441117764,0.01397205588822357
17,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
18,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
19,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.30303030303030304,0.059880239520958084,0.940119760479042,0.05988023952095804
20,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.09090909090909091,0.017964071856287425,0.9820359281437125,0.01796407185628744
21,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.13131313131313133,0.026000000000000006,0.974,0.026000000000000013
22,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
23,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
24,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.08080808080808081,0.01596806387225549,0.9840319361277445,0.015968063872255477
25,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
26,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.04040404040404041,0.007984031936127746,0.9920159680638722,0.007984031936127794
27,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
28,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.06060606060606061,0.011976047904191617,0.9880239520958084,0.011976047904191609
29,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
30,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
31,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
32,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
33,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
34,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.0707070707070707,0.013972055888223553,0.9860279441117764,0.01397205588822357
35,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.12121212121212122,0.024000000000000004,0.976,0.024000000000000007
36,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.12121212121212122,0.024000000000000004,0.976,0.024000000000000007
37,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.12121212121212122,0.024000000000000004,0.976,0.024000000000000007
38,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.050505050505050504,0.01,0.9900000000000001,0.009999999999999948
39,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.06060606060606061,0.012000000000000002,0.988,0.012000000000000004
40,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.06060606060606061,0.011976047904191617,0.9880239520958084,0.011976047904191609
41,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
42,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.050505050505050504,0.00998003992015968,0.9900199600798404,0.009980039920159646
43,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.08080808080808081,0.01596806387225549,0.9840319361277445,0.015968063872255477
44,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.050505050505050504,0.01,0.9900000000000001,0.009999999999999948
45,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.09090909090909091,0.018000000000000002,0.982,0.01800000000000001
46,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.050505050505050504,0.01,0.9900000000000001,0.009999999999999948
47,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
48,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
49,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.08080808080808081,0.016000000000000004,0.9840000000000001,0.015999999999999955
50,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.10101010101010101,0.02,0.98,0.020000000000000007
51,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
52,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.18181818181818182,0.036000000000000004,0.9640000000000001,0.03599999999999996
53,Quarry new 0.75 sift&surf,5.0606060606060606,SIFT,0.10101010101010101,0.01996007984031936,0.9800399201596806,0.019960079840319403
54,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.1414141414141414,0.028,0.9720000000000001,0.02799999999999996
55,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.21212121212121213,0.042,0.9580000000000001,0.04199999999999996
56,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
57,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.10101010101010101,0.02,0.98,0.020000000000000007
58,Quarry new 0.75 sift&surf,5.05050505050505,SIFT,0.0707070707070707,0.014,0.986,0.014000000000000007
