,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
1,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
2,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
3,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
4,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
5,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.10101010101010101,0.012106537530266342,0.9878934624697338,0.012106537530266295
6,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.25252525252525254,0.030303030303030304,0.9696969696969697,0.03030303030303029
7,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.43434343434343436,0.05212121212121212,0.9478787878787879,0.05212121212121212
8,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.9595959595959596,0.11515151515151514,0.8848484848484849,0.11515151515151513
9,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.48484848484848486,0.05818181818181818,0.9418181818181819,0.05818181818181815
10,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.8484848484848485,0.10181818181818181,0.8981818181818182,0.10181818181818182
11,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.5151515151515151,0.061818181818181814,0.9381818181818181,0.06181818181818185
12,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
13,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
14,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.0707070707070707,0.008474576271186439,0.9915254237288136,0.008474576271186429
15,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.050505050505050504,0.00606060606060606,0.993939393939394,0.006060606060606024
16,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
17,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.09090909090909091,0.010909090909090908,0.989090909090909,0.010909090909090943
18,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.1414141414141414,0.016969696969696968,0.9830303030303029,0.016969696969697023
19,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.5959595959595959,0.0715151515151515,0.9284848484848485,0.07151515151515152
20,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.15151515151515152,0.01818181818181818,0.9818181818181817,0.01818181818181824
21,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.2727272727272727,0.03272727272727272,0.9672727272727272,0.03272727272727278
22,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.21212121212121213,0.025454545454545452,0.9745454545454545,0.025454545454545483
23,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.09090909090909091,0.010909090909090908,0.989090909090909,0.010909090909090943
24,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.16161616161616163,0.019393939393939394,0.9806060606060607,0.019393939393939345
25,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.06060606060606061,0.007272727272727273,0.9927272727272727,0.007272727272727296
26,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.08080808080808081,0.009685230024213076,0.9903147699757868,0.009685230024213126
27,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.06060606060606061,0.007263922518159806,0.9927360774818402,0.007263922518159788
28,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
29,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
30,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
31,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.06060606060606061,0.007272727272727273,0.9927272727272727,0.007272727272727296
32,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.10101010101010101,0.01212121212121212,0.9878787878787879,0.012121212121212104
33,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
34,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.06060606060606061,0.007272727272727273,0.9927272727272727,0.007272727272727296
35,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.13131313131313133,0.01575757575757576,0.9842424242424243,0.01575757575757575
36,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.10101010101010101,0.01212121212121212,0.9878787878787879,0.012121212121212104
37,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.1414141414141414,0.016969696969696968,0.9830303030303029,0.016969696969697023
38,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
39,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.06060606060606061,0.007272727272727273,0.9927272727272727,0.007272727272727296
40,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.050505050505050504,0.00606060606060606,0.993939393939394,0.006060606060606024
41,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
42,Quarry new 0.75 sift&surf,8.353535353535353,SIFT,0.0707070707070707,0.008464328899637243,0.9915356711003628,0.008464328899637231
43,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
44,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.050505050505050504,0.00606060606060606,0.993939393939394,0.006060606060606024
45,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
46,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.0707070707070707,0.008484848484848484,0.9915151515151515,0.008484848484848512
47,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.09090909090909091,0.010909090909090908,0.989090909090909,0.010909090909090943
48,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.08080808080808081,0.009685230024213076,0.9903147699757868,0.009685230024213126
49,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.10101010101010101,0.01212121212121212,0.9878787878787879,0.012121212121212104
50,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.1111111111111111,0.013333333333333332,0.9866666666666667,0.01333333333333332
51,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
52,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.26262626262626265,0.03151515151515152,0.9684848484848484,0.03151515151515156
53,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.16161616161616163,0.019393939393939394,0.9806060606060607,0.019393939393939345
54,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.2828282828282828,0.033939393939393936,0.9660606060606062,0.03393939393939388
55,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.32323232323232326,0.03878787878787879,0.9612121212121212,0.0387878787878788
56,Quarry new 0.75 sift&surf,8.343434343434344,SIFT,0.08080808080808081,0.009685230024213076,0.9903147699757868,0.009685230024213126
57,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.10101010101010101,0.01212121212121212,0.9878787878787879,0.012121212121212104
58,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
59,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.12121212121212122,0.014545454545454545,0.9854545454545455,0.014545454545454537
60,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.06060606060606061,0.007272727272727273,0.9927272727272727,0.007272727272727296
61,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
62,Quarry new 0.75 sift&surf,8.333333333333334,SIFT,0.08080808080808081,0.009696969696969697,0.9903030303030302,0.009696969696969728
