,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.12121212121212122,0.004,0.996,0.004000000000000002
1,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.0707070707070707,0.002333333333333333,0.9976666666666667,0.0023333333333333157
2,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.12121212121212122,0.004,0.996,0.004000000000000002
3,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.09090909090909091,0.003,0.997,0.0030000000000000014
4,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.06060606060606061,0.002,0.998,0.002000000000000001
5,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.20202020202020202,0.006666666666666666,0.9933333333333334,0.006666666666666632
6,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.8080808080808081,0.026666666666666665,0.9733333333333333,0.026666666666666696
7,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.98989898989899,0.03266666666666666,0.9673333333333334,0.03266666666666664
8,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,3.595959595959596,0.11866666666666666,0.8813333333333334,0.11866666666666663
9,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,1.292929292929293,0.042666666666666665,0.9573333333333333,0.04266666666666671
10,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,2.3737373737373737,0.07833333333333332,0.9216666666666666,0.07833333333333335
11,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,1.2626262626262625,0.041666666666666664,0.9583333333333334,0.04166666666666665
12,Quarry new 0.75 sift&surf,30.31313131313131,SIFT,0.12121212121212122,0.003998667110963013,0.996001332889037,0.003998667110962992
13,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.08080808080808081,0.0026666666666666666,0.9973333333333334,0.002666666666666631
14,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.0707070707070707,0.002333333333333333,0.9976666666666667,0.0023333333333333157
15,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.06060606060606061,0.002,0.998,0.002000000000000001
16,Quarry new 0.75 sift&surf,30.31313131313131,SIFT,0.0707070707070707,0.002332555814728424,0.9976674441852716,0.0023325558147283894
17,Quarry new 0.75 sift&surf,30.32323232323232,SIFT,0.10101010101010101,0.0033311125916055963,0.9966688874083944,0.0033311125916055816
18,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,0.31313131313131315,0.010333333333333333,0.9896666666666666,0.010333333333333375
19,Quarry new 0.75 sift&surf,30.303030303030305,SIFT,1.7777777777777777,0.05866666666666666,0.9413333333333334,0.058666666666666645
