,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.13131313131313133,0.01298701298701299,0.987012987012987,0.012987012987012988
1,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
2,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.09090909090909091,0.009000000000000001,0.9909999999999999,0.00900000000000006
3,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.0707070707070707,0.006993006993006993,0.993006993006993,0.006993006993006986
4,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.12121212121212122,0.012000000000000002,0.988,0.012000000000000004
5,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.1919191919191919,0.01898101898101898,0.981018981018981,0.018981018981018994
6,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.20202020202020202,0.02,0.98,0.020000000000000007
7,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.45454545454545453,0.045,0.955,0.04500000000000002
8,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,1.0808080808080809,0.10700000000000001,0.8929999999999999,0.10700000000000005
9,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.6868686868686869,0.068,0.932,0.06799999999999998
10,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.9191919191919192,0.09100000000000001,0.909,0.09099999999999998
11,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.37373737373737376,0.037000000000000005,0.963,0.03700000000000002
12,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.1414141414141414,0.013986013986013986,0.9860139860139859,0.013986013986014028
13,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
14,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.06060606060606061,0.005994005994005994,0.994005994005994,0.0059940059940060035
15,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.050505050505050504,0.005,0.995,0.005000000000000002
16,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.08080808080808081,0.008000000000000002,0.992,0.008000000000000005
17,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.09090909090909091,0.009000000000000001,0.9909999999999999,0.00900000000000006
18,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.1919191919191919,0.019,0.981,0.019000000000000006
19,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.5454545454545454,0.054,0.9460000000000001,0.05399999999999997
20,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.3838383838383838,0.038,0.962,0.03800000000000001
21,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.494949494949495,0.04895104895104895,0.951048951048951,0.04895104895104896
22,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.35353535353535354,0.035,0.9650000000000001,0.03499999999999996
23,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.16161616161616163,0.016000000000000004,0.9840000000000001,0.015999999999999955
24,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.16161616161616163,0.016000000000000004,0.9840000000000001,0.015999999999999955
25,Quarry Rootsift 0.50,10.121212121212121,ROOTSIFT,0.050505050505050504,0.00499001996007984,0.9950099800399201,0.004990019960079851
26,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.050505050505050504,0.004995004995004995,0.9950049950049951,0.0049950049950049655
27,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.06060606060606061,0.005994005994005994,0.994005994005994,0.0059940059940060035
28,Quarry Rootsift 0.50,10.11111111111111,ROOTSIFT,0.0707070707070707,0.006993006993006993,0.993006993006993,0.006993006993006986
29,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.08080808080808081,0.008000000000000002,0.992,0.008000000000000005
30,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.13131313131313133,0.013000000000000003,0.987,0.013000000000000006
31,Quarry Rootsift 0.50,10.1010101010101,ROOTSIFT,0.12121212121212122,0.012000000000000002,0.988,0.012000000000000004
