,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.3939393939393939,0.039,0.961,0.039000000000000014
1,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.1414141414141414,0.014,0.986,0.014000000000000007
2,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6464646464646465,0.06400000000000002,0.9359999999999999,0.06400000000000004
3,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.29292929292929293,0.029,0.9710000000000001,0.02899999999999996
4,Indus rootsift 0.5,10.121212121212121,ROOTSIFT,0.3939393939393939,0.038922155688622756,0.9610778443113772,0.03892215568862277
5,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,0.5353535353535354,0.05294705294705295,0.9470529470529472,0.05294705294705288
6,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6666666666666666,0.066,0.934,0.06599999999999998
7,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.45454545454545453,0.045,0.955,0.04500000000000002
8,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.9191919191919192,0.09100000000000001,0.909,0.09099999999999998
9,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6363636363636364,0.063,0.9369999999999999,0.06300000000000003
10,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7474747474747475,0.07400000000000001,0.926,0.07399999999999998
11,Indus rootsift 0.5,10.131313131313131,ROOTSIFT,1.3131313131313131,0.1296111665004985,0.8703888334995015,0.1296111665004985
12,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.2727272727272727,0.126,0.8739999999999999,0.12600000000000006
13,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,1.0505050505050506,0.10389610389610392,0.8961038961038962,0.10389610389610386
14,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,2.2525252525252526,0.22277722277722278,0.7772227772227772,0.22277722277722278
15,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.8585858585858586,0.085,0.915,0.08499999999999998
16,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.2525252525252526,0.12400000000000001,0.876,0.12400000000000001
17,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.25252525252525254,0.025000000000000005,0.975,0.025000000000000012
18,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.5555555555555556,0.15400000000000003,0.846,0.15400000000000003
19,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.3232323232323233,0.131,0.869,0.131
20,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6464646464646465,0.06400000000000002,0.9359999999999999,0.06400000000000004
21,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.37373737373737376,0.037000000000000005,0.963,0.03700000000000002
22,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.0808080808080809,0.10700000000000001,0.8929999999999999,0.10700000000000005
23,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.32323232323232326,0.03200000000000001,0.968,0.03200000000000002
24,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.595959595959596,0.15800000000000003,0.8420000000000001,0.15799999999999997
25,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.8181818181818181,0.18,0.82,0.18000000000000002
26,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.0505050505050506,0.10400000000000002,0.896,0.104
27,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.797979797979798,0.07900000000000001,0.921,0.07899999999999999
28,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.8181818181818182,0.08100000000000002,0.9189999999999999,0.08100000000000004
29,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.2222222222222222,0.022,0.9780000000000001,0.021999999999999954
30,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,1.101010101010101,0.1088911088911089,0.8911088911088911,0.10889110889110887
31,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.36363636363636365,0.036000000000000004,0.9640000000000001,0.03599999999999996
32,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.08080808080808081,0.008000000000000002,0.992,0.008000000000000005
33,Indus rootsift 0.5,10.121212121212121,ROOTSIFT,0.6666666666666666,0.06586826347305388,0.9341317365269461,0.06586826347305387
34,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.29292929292929293,0.029,0.9710000000000001,0.02899999999999996
35,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.8181818181818182,0.08100000000000002,0.9189999999999999,0.08100000000000004
36,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,0.5858585858585859,0.057942057942057944,0.942057942057942,0.05794205794205796
37,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6666666666666666,0.066,0.934,0.06599999999999998
38,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.21212121212121213,0.021,0.979,0.021000000000000008
39,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.5757575757575758,0.05700000000000001,0.943,0.05700000000000002
40,Indus rootsift 0.5,10.121212121212121,ROOTSIFT,0.8686868686868687,0.08582834331337326,0.9141716566866268,0.08582834331337323
41,Indus rootsift 0.5,10.121212121212121,ROOTSIFT,0.5353535353535354,0.05289421157684631,0.9471057884231537,0.05289421157684629
42,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6868686868686869,0.068,0.932,0.06799999999999998
43,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.0303030303030303,0.10200000000000001,0.8979999999999999,0.10200000000000005
44,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.5858585858585859,0.058,0.942,0.05800000000000003
45,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.3434343434343434,0.034,0.9660000000000001,0.03399999999999996
46,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.3434343434343434,0.034,0.9660000000000001,0.03399999999999996
47,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,0.23232323232323232,0.022977022977022976,0.977022977022977,0.02297702297702298
48,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,0.8080808080808081,0.07992007992007992,0.9200799200799201,0.07992007992007989
49,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.29292929292929293,0.029,0.9710000000000001,0.02899999999999996
50,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.21212121212121213,0.021,0.979,0.021000000000000008
51,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7373737373737373,0.073,0.927,0.07299999999999997
52,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6363636363636364,0.063,0.9369999999999999,0.06300000000000003
53,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6767676767676768,0.067,0.933,0.06699999999999998
54,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7777777777777778,0.07700000000000001,0.9229999999999999,0.07700000000000004
55,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.2323232323232323,0.122,0.878,0.122
56,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6868686868686869,0.068,0.932,0.06799999999999998
57,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.8383838383838383,0.083,0.9169999999999999,0.08300000000000003
58,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.37373737373737376,0.037000000000000005,0.963,0.03700000000000002
59,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,0.8282828282828283,0.08191808191808192,0.9180819180819181,0.08191808191808192
60,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.0,0.099,0.901,0.099
61,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,1.5656565656565657,0.15484515484515485,0.8451548451548452,0.15484515484515485
62,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.0707070707070707,0.007,0.993,0.007000000000000004
63,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.7272727272727273,0.171,0.8290000000000001,0.17099999999999996
64,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.4444444444444444,0.14300000000000002,0.857,0.14300000000000002
65,Indus rootsift 0.5,10.11111111111111,ROOTSIFT,2.2222222222222223,0.2197802197802198,0.7802197802197802,0.2197802197802198
66,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,2.3636363636363638,0.23400000000000004,0.766,0.234
67,Indus rootsift 0.5,10.131313131313131,ROOTSIFT,1.4848484848484849,0.1465603190428714,0.8534396809571286,0.1465603190428714
68,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.1919191919191919,0.019,0.981,0.019000000000000006
69,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7878787878787878,0.078,0.922,0.07799999999999997
70,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7575757575757576,0.07500000000000001,0.9249999999999999,0.07500000000000004
71,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.3535353535353536,0.134,0.8660000000000001,0.13399999999999995
72,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6565656565656566,0.065,0.9349999999999999,0.06500000000000003
73,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.06060606060606061,0.006000000000000001,0.994,0.006000000000000002
74,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.7878787878787878,0.078,0.922,0.07799999999999997
75,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.8080808080808081,0.08,0.92,0.07999999999999997
76,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.31313131313131315,0.031000000000000003,0.969,0.031000000000000017
77,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,0.6464646464646465,0.06400000000000002,0.9359999999999999,0.06400000000000004
78,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.3636363636363635,0.135,0.865,0.135
79,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.4141414141414141,0.14,0.8600000000000001,0.13999999999999996
80,Indus rootsift 0.5,10.1010101010101,ROOTSIFT,1.3535353535353536,0.134,0.8660000000000001,0.13399999999999995
