,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Rootsift Quarry 0.35,10.121212121212121,ROOTSIFT,0.16161616161616163,0.01596806387225549,0.9840319361277445,0.015968063872255477
1,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
2,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.1919191919191919,0.019,0.981,0.019000000000000006
3,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.1111111111111111,0.011,0.989,0.011000000000000005
4,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
5,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.1919191919191919,0.019,0.981,0.019000000000000006
6,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.21212121212121213,0.021,0.979,0.021000000000000008
7,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.3333333333333333,0.033,0.967,0.033000000000000015
8,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.494949494949495,0.04900000000000001,0.951,0.04900000000000002
9,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.6161616161616161,0.061,0.9390000000000001,0.06099999999999997
10,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.9494949494949495,0.094,0.9059999999999999,0.09400000000000003
11,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.48484848484848486,0.04800000000000001,0.9520000000000001,0.047999999999999966
12,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
13,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.050505050505050504,0.005,0.995,0.005000000000000002
14,Rootsift Quarry 0.35,10.121212121212121,ROOTSIFT,0.08080808080808081,0.007984031936127746,0.9920159680638722,0.007984031936127794
15,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.050505050505050504,0.005,0.995,0.005000000000000002
16,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.16161616161616163,0.015984015984015987,0.9840159840159841,0.01598401598401594
17,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.1717171717171717,0.017,0.9830000000000001,0.016999999999999953
18,Rootsift Quarry 0.35,10.121212121212121,ROOTSIFT,0.12121212121212122,0.011976047904191617,0.9880239520958084,0.011976047904191609
19,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.35353535353535354,0.03496503496503497,0.9650349650349651,0.034965034965034926
20,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.45454545454545453,0.045,0.955,0.04500000000000002
21,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.45454545454545453,0.045,0.955,0.04500000000000002
22,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.35353535353535354,0.035,0.9650000000000001,0.03499999999999996
23,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.29292929292929293,0.028971028971028972,0.9710289710289711,0.028971028971028923
24,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.26262626262626265,0.02597402597402598,0.974025974025974,0.025974025974025976
25,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
26,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.09090909090909091,0.009000000000000001,0.9909999999999999,0.00900000000000006
27,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.08080808080808081,0.007992007992007994,0.992007992007992,0.007992007992008025
28,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.10101010101010101,0.01,0.9900000000000001,0.009999999999999948
29,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.09090909090909091,0.009000000000000001,0.9909999999999999,0.00900000000000006
30,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.2222222222222222,0.021978021978021976,0.9780219780219781,0.021978021978021938
31,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.18181818181818182,0.018000000000000002,0.982,0.01800000000000001
32,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.24242424242424243,0.024000000000000004,0.976,0.024000000000000007
33,Rootsift Quarry 0.35,10.11111111111111,ROOTSIFT,0.15151515151515152,0.014985014985014986,0.985014985014985,0.01498501498501501
34,Rootsift Quarry 0.35,10.121212121212121,ROOTSIFT,0.1717171717171717,0.016966067864271458,0.9830339321357285,0.016966067864271458
35,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.29292929292929293,0.029,0.9710000000000001,0.02899999999999996
36,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.32323232323232326,0.03200000000000001,0.968,0.03200000000000002
37,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.18181818181818182,0.018000000000000002,0.982,0.01800000000000001
38,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.10101010101010101,0.01,0.9900000000000001,0.009999999999999948
39,Rootsift Quarry 0.35,10.1010101010101,ROOTSIFT,0.1111111111111111,0.011,0.989,0.011000000000000005
