,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.40404040404040403,0.04,0.96,0.040000000000000015
1,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.08080808080808081,0.008000000000000002,0.992,0.008000000000000005
2,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.6464646464646465,0.06400000000000002,0.9359999999999999,0.06400000000000004
3,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.41414141414141414,0.041,0.9590000000000001,0.04099999999999996
4,Indus 0.35 Dataset,10.11111111111111,ROOTSIFT,0.9595959595959596,0.09490509490509491,0.905094905094905,0.09490509490509497
5,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.6060606060606061,0.060000000000000005,0.9400000000000001,0.05999999999999998
6,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.9393939393939394,0.09300000000000001,0.907,0.09299999999999999
7,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.7272727272727273,0.07200000000000001,0.928,0.07199999999999998
8,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.9494949494949495,0.094,0.9059999999999999,0.09400000000000003
9,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.6666666666666666,0.066,0.934,0.06599999999999998
10,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.0707070707070707,0.10600000000000001,0.894,0.106
11,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.6565656565656566,0.164,0.8359999999999999,0.16400000000000006
12,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.797979797979798,0.17800000000000002,0.8220000000000001,0.17799999999999996
13,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.3737373737373737,0.136,0.864,0.136
14,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,2.8484848484848486,0.28200000000000003,0.718,0.28200000000000003
15,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.98989898989899,0.09800000000000002,0.902,0.09799999999999999
16,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.6262626262626263,0.161,0.839,0.161
17,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.32323232323232326,0.03200000000000001,0.968,0.03200000000000002
18,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.7474747474747474,0.17300000000000001,0.827,0.17300000000000001
19,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.97979797979798,0.19600000000000004,0.804,0.19599999999999998
20,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.02020202020202,0.10099999999999999,0.8989999999999999,0.10100000000000005
21,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.45454545454545453,0.045,0.955,0.04500000000000002
22,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.3333333333333333,0.132,0.8679999999999999,0.13200000000000006
23,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.5757575757575758,0.05700000000000001,0.943,0.05700000000000002
24,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.5353535353535352,0.152,0.8480000000000001,0.15199999999999994
25,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.878787878787879,0.18600000000000003,0.814,0.18600000000000003
26,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.3434343434343434,0.133,0.8670000000000001,0.13299999999999995
27,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.202020202020202,0.11900000000000001,0.881,0.11900000000000001
28,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.1818181818181819,0.11700000000000002,0.883,0.117
29,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.3838383838383838,0.038,0.962,0.03800000000000001
30,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.9494949494949494,0.193,0.8069999999999999,0.19300000000000003
31,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.6565656565656566,0.065,0.9349999999999999,0.06500000000000003
32,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
33,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.0404040404040404,0.10300000000000001,0.897,0.103
34,Indus 0.35 Dataset,10.121212121212121,ROOTSIFT,0.43434343434343436,0.04291417165668663,0.9570858283433133,0.042914171656686644
35,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.101010101010101,0.109,0.891,0.10900000000000001
36,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.8282828282828283,0.082,0.9179999999999999,0.08200000000000003
37,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.8686868686868687,0.08600000000000001,0.914,0.08599999999999998
38,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.3939393939393939,0.039,0.961,0.039000000000000014
39,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.9595959595959596,0.095,0.9049999999999999,0.09500000000000004
40,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.0404040404040404,0.10300000000000001,0.897,0.103
41,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.494949494949495,0.04900000000000001,0.951,0.04900000000000002
42,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.1515151515151516,0.11400000000000002,0.8859999999999999,0.11400000000000005
43,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.1717171717171717,0.116,0.884,0.116
44,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.5555555555555556,0.05500000000000001,0.9450000000000001,0.05499999999999997
45,Indus 0.35 Dataset,10.11111111111111,ROOTSIFT,0.5454545454545454,0.053946053946053944,0.9460539460539461,0.05394605394605391
46,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.696969696969697,0.069,0.9309999999999999,0.06900000000000003
47,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.3939393939393939,0.039,0.961,0.039000000000000014
48,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.9090909090909091,0.09,0.91,0.08999999999999997
49,Indus 0.35 Dataset,10.11111111111111,ROOTSIFT,0.6464646464646465,0.06393606393606395,0.936063936063936,0.06393606393606398
50,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.15151515151515152,0.015000000000000001,0.9849999999999999,0.015000000000000064
51,Indus 0.35 Dataset,10.11111111111111,ROOTSIFT,0.7474747474747475,0.07392607392607393,0.926073926073926,0.07392607392607396
52,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.8484848484848485,0.084,0.916,0.08399999999999998
53,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.9393939393939394,0.09300000000000001,0.907,0.09299999999999999
54,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.1818181818181819,0.11700000000000002,0.883,0.117
55,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.5858585858585859,0.157,0.843,0.157
56,Indus 0.35 Dataset,10.11111111111111,ROOTSIFT,0.8181818181818182,0.08091908091908093,0.919080919080919,0.08091908091908094
57,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.7777777777777777,0.176,0.824,0.17600000000000002
58,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.5050505050505051,0.05000000000000001,0.95,0.050000000000000024
59,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.404040404040404,0.139,0.8609999999999999,0.13900000000000007
60,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.5454545454545454,0.153,0.8470000000000001,0.15299999999999994
61,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,2.04040404040404,0.20199999999999999,0.798,0.20199999999999999
62,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.1111111111111111,0.011,0.989,0.011000000000000005
63,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.878787878787879,0.18600000000000003,0.814,0.18600000000000003
64,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.5151515151515151,0.15000000000000002,0.85,0.15000000000000002
65,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.9595959595959596,0.194,0.8059999999999999,0.194
66,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,2.494949494949495,0.247,0.753,0.247
67,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.7575757575757576,0.17400000000000002,0.826,0.17400000000000002
68,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.36363636363636365,0.036000000000000004,0.9640000000000001,0.03599999999999996
69,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.7474747474747475,0.07400000000000001,0.926,0.07399999999999998
70,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,0.8686868686868687,0.08600000000000001,0.914,0.08599999999999998
71,Indus 0.35 Dataset,10.1010101010101,ROOTSIFT,1.4343434343434343,0.142,0.858,0.142
